# weight[i] (1/Å)  momenta[i] (1/Å)  momenta[j] (1/Å)  v_0[i, j] (K•Å^3)  v_1[i, j] (K•Å^3)
1.94424871e-04  7.57581346e-05  7.57581346e-05  -4.57416796e+01  2.13717404e-08
1.94424871e-04  7.57581346e-05  3.99209215e-04  -4.57416342e+01  3.07409727e-07
1.94424871e-04  7.57581346e-05  9.81302541e-04  -4.57413970e+01  1.80359054e-06
1.94424871e-04  7.57581346e-05  1.82247587e-03  -4.57407008e+01  6.19476336e-06
1.94424871e-04  7.57581346e-05  2.92319076e-03  -4.57391591e+01  1.59205204e-05
1.94424871e-04  7.57581346e-05  4.28403402e-03  -4.57362654e+01  3.41816453e-05
1.94424871e-04  7.57581346e-05  5.90572739e-03  -4.57313928e+01  6.49485712e-05
1.94424871e-04  7.57581346e-05  7.78912938e-03  -4.57237943e+01  1.12971857e-04
1.94424871e-04  7.57581346e-05  9.93523601e-03  -4.57126037e+01  1.83794697e-04
1.94424871e-04  7.57581346e-05  1.23451811e-02  -4.56968379e+01  2.83767488e-04
1.94424871e-04  7.57581346e-05  1.50202366e-02  -4.56754011e+01  4.20064464e-04
1.94424871e-04  7.57581346e-05  1.79618127e-02  -4.56470898e+01  6.00702448e-04
1.94424871e-04  7.57581346e-05  2.11714584e-02  -4.56106008e+01  8.34561723e-04
1.94424871e-04  7.57581346e-05  2.46508616e-02  -4.55645401e+01  1.13140908e-03
1.94424871e-04  7.57581346e-05  2.84018493e-02  -4.55074331e+01  1.50192303e-03
1.94424871e-04  7.57581346e-05  3.24263883e-02  -4.54377348e+01  1.95772134e-03
1.94424871e-04  7.57581346e-05  3.67265850e-02  -4.53538387e+01  2.51139072e-03
1.94424871e-04  7.57581346e-05  4.13046861e-02  -4.52540846e+01  3.17651893e-03
1.94424871e-04  7.57581346e-05  4.61630789e-02  -4.51367623e+01  3.96772921e-03
1.94424871e-04  7.57581346e-05  5.13042916e-02  -4.50001137e+01  4.90071710e-03
1.94424871e-04  7.57581346e-05  5.67309936e-02  -4.48423343e+01  5.99228972e-03
1.94424871e-04  7.57581346e-05  6.24459958e-02  -4.46615748e+01  7.26040753e-03
1.94424871e-04  7.57581346e-05  6.84522510e-02  -4.44559491e+01  8.72422857e-03
1.94424871e-04  7.57581346e-05  7.47528545e-02  -4.42235478e+01  1.04041552e-02
1.94424871e-04  7.57581346e-05  8.13510438e-02  -4.39624589e+01  1.23218834e-02
1.94424871e-04  7.57581346e-05  8.82501993e-02  -4.36707922e+01  1.45004543e-02
1.94424871e-04  7.57581346e-05  9.54538446e-02  -4.33467002e+01  1.69643082e-02
1.94424871e-04  7.57581346e-05  1.02965647e-01  -4.29883924e+01  1.97393401e-02
1.94424871e-04  7.57581346e-05  1.10789416e-01  -4.25941387e+01  2.28529581e-02
1.94424871e-04  7.57581346e-05  1.18929106e-01  -4.21622680e+01  2.63341407e-02
1.94424871e-04  7.57581346e-05  1.27388816e-01  -4.16911709e+01  3.02134964e-02
1.94424871e-04  7.57581346e-05  1.36172786e-01  -4.11793159e+01  3.45233205e-02
1.94424871e-04  7.57581346e-05  1.45285403e-01  -4.06252763e+01  3.92976487e-02
1.94424871e-04  7.57581346e-05  1.54731196e-01  -4.00277593e+01  4.45723051e-02
1.94424871e-04  7.57581346e-05  1.64514838e-01  -3.93856201e+01  5.03849389e-02
1.94424871e-04  7.57581346e-05  1.74641147e-01  -3.86978575e+01  5.67750458e-02
1.94424871e-04  7.57581346e-05  1.85115081e-01  -3.79636064e+01  6.37839645e-02
1.94424871e-04  7.57581346e-05  1.95941744e-01  -3.71821443e+01  7.14548382e-02
1.94424871e-04  7.57581346e-05  2.07126381e-01  -3.63529180e+01  7.98325258e-02
1.94424871e-04  7.57581346e-05  2.18674379e-01  -3.54755661e+01  8.89634423e-02
1.94424871e-04  7.57581346e-05  2.30591266e-01  -3.45499168e+01  9.88953000e-02
1.94424871e-04  7.57581346e-05  2.42882711e-01  -3.35759682e+01  1.09676716e-01
1.94424871e-04  7.57581346e-05  2.55554521e-01  -3.25538861e+01  1.21356631e-01
1.94424871e-04  7.57581346e-05  2.68612641e-01  -3.14840290e+01  1.33983488e-01
1.94424871e-04  7.57581346e-05  2.82063156e-01  -3.03669682e+01  1.47604065e-01
1.94424871e-04  7.57581346e-05  2.95912282e-01  -2.92034773e+01  1.62261879e-01
1.94424871e-04  7.57581346e-05  3.10166373e-01  -2.79945242e+01  1.77995000e-01
1.94424871e-04  7.57581346e-05  3.24831913e-01  -2.67413065e+01  1.94833116e-01
1.94424871e-04  7.57581346e-05  3.39915516e-01  -2.54453048e+01  2.12793621e-01
1.94424871e-04  7.57581346e-05  3.55423925e-01  -2.41083127e+01  2.31876471e-01
1.94424871e-04  7.57581346e-05  3.71364009e-01  -2.27324819e+01  2.52057499e-01
1.94424871e-04  7.57581346e-05  3.87742758e-01  -2.13204364e+01  2.73279835e-01
1.94424871e-04  7.57581346e-05  4.04567283e-01  -1.98754109e+01  2.95443068e-01
1.94424871e-04  7.57581346e-05  4.21844814e-01  -1.84013869e+01  3.18389798e-01
1.94424871e-04  7.57581346e-05  4.39582692e-01  -1.69032951e+01  3.41889341e-01
1.94424871e-04  7.57581346e-05  4.57788368e-01  -1.53872928e+01  3.65618539e-01
1.94424871e-04  7.57581346e-05  4.76469401e-01  -1.38610371e+01  3.89140090e-01
1.94424871e-04  7.57581346e-05  4.95633450e-01  -1.23339910e+01  4.11879484e-01
1.94424871e-04  7.57581346e-05  5.15288272e-01  -1.08177756e+01  4.33102791e-01
1.94424871e-04  7.57581346e-05  5.35441716e-01  -9.32644156e+00  4.51899130e-01
1.94424871e-04  7.57581346e-05  5.56101718e-01  -7.87663499e+00  4.67173890e-01
1.94424871e-04  7.57581346e-05  5.77276294e-01  -6.48759707e+00  4.77661409e-01
1.94424871e-04  7.57581346e-05  5.98973539e-01  -5.18079479e+00  4.81968578e-01
1.94424871e-04  7.57581346e-05  6.21201613e-01  -3.97910437e+00  4.78662745e-01
1.94424871e-04  7.57581346e-05  6.43968741e-01  -2.90541291e+00  4.66416580e-01
1.94424871e-04  7.57581346e-05  6.67283202e-01  -1.98052258e+00  4.44216842e-01
