# weight[i] (1/Å)  momenta[i] (1/Å)  momenta[j] (1/Å)  v_0[i, j] (K•Å^3)  v_1[i, j] (K•Å^3)
2.94076955e-04  1.14585593e-04  1.14585593e-04  -1.75023441e+03  -1.62845021e-08
2.94076955e-04  1.14585593e-04  6.03861430e-04  -1.75023407e+03  -2.34272697e-07
2.94076955e-04  1.14585593e-04  1.48458275e-03  -1.75023228e+03  -1.37490545e-06
2.94076955e-04  1.14585593e-04  2.75776215e-03  -1.75022703e+03  -4.72440585e-06
2.94076955e-04  1.14585593e-04  4.42460496e-03  -1.75021539e+03  -1.21485553e-05
2.94076955e-04  1.14585593e-04  6.48666370e-03  -1.75019351e+03  -2.61013350e-05
2.94076955e-04  1.14585593e-04  8.94585399e-03  -1.75015663e+03  -4.96362902e-05
2.94076955e-04  1.14585593e-04  1.18044591e-02  -1.75009903e+03  -8.64206568e-05
2.94076955e-04  1.14585593e-04  1.50651330e-02  -1.75001403e+03  -1.40752307e-04
2.94076955e-04  1.14585593e-04  1.87309030e-02  -1.74989400e+03  -2.17579583e-04
2.94076955e-04  1.14585593e-04  2.28051730e-02  -1.74973033e+03  -3.22524094e-04
2.94076955e-04  1.14585593e-04  2.72917266e-02  -1.74951346e+03  -4.61906567e-04
2.94076955e-04  1.14585593e-04  3.21947309e-02  -1.74923285e+03  -6.42775860e-04
2.94076955e-04  1.14585593e-04  3.75187407e-02  -1.74887698e+03  -8.72941247e-04
2.94076955e-04  1.14585593e-04  4.32687024e-02  -1.74843333e+03  -1.16100809e-03
2.94076955e-04  1.14585593e-04  4.94499593e-02  -1.74788837e+03  -1.51641707e-03
2.94076955e-04  1.14585593e-04  5.60682559e-02  -1.74722752e+03  -1.94948710e-03
2.94076955e-04  1.14585593e-04  6.31297443e-02  -1.74643509e+03  -2.47146206e-03
2.94076955e-04  1.14585593e-04  7.06409889e-02  -1.74549428e+03  -3.09456166e-03
2.94076955e-04  1.14585593e-04  7.86089734e-02  -1.74438714e+03  -3.83203642e-03
2.94076955e-04  1.14585593e-04  8.70411066e-02  -1.74309461e+03  -4.69822721e-03
2.94076955e-04  1.14585593e-04  9.59452294e-02  -1.74159653e+03  -5.70862935e-03
2.94076955e-04  1.14585593e-04  1.05329622e-01  -1.73987164e+03  -6.87996170e-03
2.94076955e-04  1.14585593e-04  1.15203012e-01  -1.73789752e+03  -8.23024089e-03
2.94076955e-04  1.14585593e-04  1.25574579e-01  -1.73565059e+03  -9.77886099e-03
2.94076955e-04  1.14585593e-04  1.36453969e-01  -1.73310605e+03  -1.15466789e-02
2.94076955e-04  1.14585593e-04  1.47851295e-01  -1.73023791e+03  -1.35561059e-02
2.94076955e-04  1.14585593e-04  1.59777152e-01  -1.72701906e+03  -1.58312054e-02
2.94076955e-04  1.14585593e-04  1.72242622e-01  -1.72342127e+03  -1.83977974e-02
2.94076955e-04  1.14585593e-04  1.85259287e-01  -1.71941515e+03  -2.12835705e-02
2.94076955e-04  1.14585593e-04  1.98839235e-01  -1.71497012e+03  -2.45182006e-02
2.94076955e-04  1.14585593e-04  2.12995070e-01  -1.71005453e+03  -2.81334781e-02
2.94076955e-04  1.14585593e-04  2.27739927e-01  -1.70463570e+03  -3.21634431e-02
2.94076955e-04  1.14585593e-04  2.43087477e-01  -1.69867991e+03  -3.66445293e-02
2.94076955e-04  1.14585593e-04  2.59051937e-01  -1.69215242e+03  -4.16157174e-02
2.94076955e-04  1.14585593e-04  2.75648087e-01  -1.68501761e+03  -4.71186970e-02
2.94076955e-04  1.14585593e-04  2.92891275e-01  -1.67723903e+03  -5.31980398e-02
2.94076955e-04  1.14585593e-04  3.10797432e-01  -1.66877945e+03  -5.99013819e-02
2.94076955e-04  1.14585593e-04  3.29383080e-01  -1.65960093e+03  -6.72796177e-02
2.94076955e-04  1.14585593e-04  3.48665347e-01  -1.64966501e+03  -7.53871036e-02
2.94076955e-04  1.14585593e-04  3.68661976e-01  -1.63893278e+03  -8.42818733e-02
2.94076955e-04  1.14585593e-04  3.89391339e-01  -1.62736495e+03  -9.40258640e-02
2.94076955e-04  1.14585593e-04  4.10872446e-01  -1.61492211e+03  -1.04685152e-01
2.94076955e-04  1.14585593e-04  4.33124960e-01  -1.60156478e+03  -1.16330199e-01
2.94076955e-04  1.14585593e-04  4.56169207e-01  -1.58725360e+03  -1.29036106e-01
2.94076955e-04  1.14585593e-04  4.80026188e-01  -1.57194955e+03  -1.42882873e-01
2.94076955e-04  1.14585593e-04  5.04717593e-01  -1.55561404e+03  -1.57955661e-01
2.94076955e-04  1.14585593e-04  5.30265809e-01  -1.53820917e+03  -1.74345056e-01
2.94076955e-04  1.14585593e-04  5.56693934e-01  -1.51969789e+03  -1.92147315e-01
2.94076955e-04  1.14585593e-04  5.84025789e-01  -1.50004417e+03  -2.11464608e-01
2.94076955e-04  1.14585593e-04  6.12285928e-01  -1.47921322e+03  -2.32405214e-01
2.94076955e-04  1.14585593e-04  6.41499650e-01  -1.45717163e+03  -2.55083678e-01
2.94076955e-04  1.14585593e-04  6.71693009e-01  -1.43388756e+03  -2.79620894e-01
2.94076955e-04  1.14585593e-04  7.02892824e-01  -1.40933087e+03  -3.06144076e-01
2.94076955e-04  1.14585593e-04  7.35126690e-01  -1.38347324e+03  -3.34786583e-01
2.94076955e-04  1.14585593e-04  7.68422986e-01  -1.35628831e+03  -3.65687532e-01
2.94076955e-04  1.14585593e-04  8.02810888e-01  -1.32775170e+03  -3.98991121e-01
2.94076955e-04  1.14585593e-04  8.38320370e-01  -1.29784105e+03  -4.34845556e-01
2.94076955e-04  1.14585593e-04  8.74982219e-01  -1.26653611e+03  -4.73401447e-01
2.94076955e-04  1.14585593e-04  9.12828036e-01  -1.23381865e+03  -5.14809477e-01
2.94076955e-04  1.14585593e-04  9.51890247e-01  -1.19967250e+03  -5.59217127e-01
2.94076955e-04  1.14585593e-04  9.92202106e-01  -1.16408354e+03  -6.06764125e-01
2.94076955e-04  1.14585593e-04  1.03379770e+00  -1.12703975e+03  -6.57576246e-01
2.94076955e-04  1.14585593e-04  1.07671194e+00  -1.08853139e+03  -7.11756933e-01
2.94076955e-04  1.14585593e-04  1.12098059e+00  -1.04855131e+03  -7.69376132e-01
2.94076955e-04  1.14585593e-04  1.16664024e+00  -1.00709554e+03  -8.30455541e-01
2.94076955e-04  1.14585593e-04  1.21372832e+00  -9.64164271e+02  -8.94949344e-01
2.94076955e-04  1.14585593e-04  1.26228311e+00  -9.19763387e+02  -9.62719321e-01
2.94076955e-04  1.14585593e-04  1.31234368e+00  -8.73906734e+02  -1.03350309e+00
2.94076955e-04  1.14585593e-04  1.36394997e+00  -8.26619389e+02  -1.10687424e+00
2.94076955e-04  1.14585593e-04  1.41714270e+00  -7.77942191e+02  -1.18219307e+00
2.94076955e-04  1.14585593e-04  1.47196344e+00  -7.27937832e+02  -1.25854735e+00
2.94076955e-04  1.14585593e-04  1.52845450e+00  -6.76698816e+02  -1.33468313e+00
2.94076955e-04  1.14585593e-04  1.58665903e+00  -6.24357485e+02  -1.40892753e+00
2.94076955e-04  1.14585593e-04  1.64662091e+00  -5.71098221e+02  -1.47910832e+00
2.94076955e-04  1.14585593e-04  1.70838477e+00  -5.17171563e+02  -1.54247969e+00
2.94076955e-04  1.14585593e-04  1.77199600e+00  -4.62909568e+02  -1.59567019e+00
2.94076955e-04  1.14585593e-04  1.83750065e+00  -4.08740943e+02  -1.63467777e+00
2.94076955e-04  1.14585593e-04  1.90494548e+00  -3.55203487e+02  -1.65494776e+00
2.94076955e-04  1.14585593e-04  1.97437788e+00  -3.02950137e+02  -1.65158009e+00
