# Delta  K_0^0(Delta)
6.250000000000004535e-06 -2.720356235135545919e-02
8.586398724270406476e-06 -2.720357067555782132e-02
1.179619888834435703e-05 -2.720358009538413613e-02
1.620589873377917850e-05 -2.720359324335895265e-02
2.226404931414029126e-05 -2.720361225142832115e-02
3.058688074048439038e-05 -2.720363843544399904e-02
4.202098460312087144e-05 -2.720367534372262336e-02
5.772942857421170531e-05 -2.720372432300492346e-02
7.931006269799527168e-05 -2.720379163426699456e-02
1.089580513874992593e-04 -2.720388115252091177e-02
1.496891637492179844e-04 -2.720400452715931658e-02
2.056465351445418283e-04 -2.720416716993981354e-02
2.825221035225152161e-04 -2.720438447094949627e-02
3.881355886822263480e-04 -2.720466749151426514e-02
5.332299077608007457e-04 -2.720502972067307887e-02
7.325639359584258745e-04 -2.720548006333823460e-02
1.006413767225588021e-03 -2.720601015260313421e-02
1.382635181919030735e-03 -2.720657304173667440e-02
1.899497113945749962e-03 -2.720704585787921126e-02
2.609574335350251829e-03 -2.720715165267278621e-02
3.585095319030428326e-03 -2.720634038422263187e-02
4.925289259793698068e-03 -2.720358652415333020e-02
6.766479586712842095e-03 -2.719701108185802393e-02
9.295950670584455025e-03 -2.718325202662422863e-02
1.277099823660589675e-02 -2.715649661210645452e-02
1.754510127463235550e-02 -2.710702580522815139e-02
2.410387763227172034e-02 -2.701880928278106372e-02
3.311448066427319370e-02 -2.686626678081404165e-02
4.549346152489468914e-02 -2.660946714505704400e-02
6.250000000000002776e-02 -2.618787964620285236e-02
7.562500000000001166e-02 -2.582004741097744527e-02
9.440033606385214715e-02 -2.524373434547386857e-02
1.152553297626549150e-01 -2.454893386124546925e-02
1.381899810964083430e-01 -2.373349883964476215e-02
1.632042900651123341e-01 -2.279660815605730889e-02
1.902982566687670685e-01 -2.173886326891547038e-02
2.194718809073724630e-01 -2.056172365256977996e-02
2.507251627809283234e-01 -1.926728980126704918e-02
2.840581022894350105e-01 -1.785832749050337426e-02
3.194706994328921912e-01 -1.633800918129548960e-02
3.569629542113001430e-01 -1.470972888746338927e-02
3.965348666246586440e-01 -1.297704257021554779e-02
4.381864366729678606e-01 -1.114359386521005836e-02
4.819176643562276263e-01 -9.213052383616431376e-03
5.277285496744381632e-01 -7.189069621386656728e-03
5.756190926275991382e-01 -5.075222254260260309e-03
6.255892932157109954e-01 -2.874982224655109938e-03
6.776391514387732906e-01 -5.916742311965027387e-04
7.317686672967863570e-01 1.771552678990085750e-03
7.879778407897499726e-01 4.211662904638242486e-03
8.462666719176643593e-01 6.725628187979741136e-03
9.066351606805294061e-01 9.310665796248155171e-03
9.690833070783446690e-01 1.196436861047894991e-02
1.033611111111111036e+00 1.468441865989478061e-02
1.100218572778827841e+00 1.746823808764439226e-02
1.168905692081495529e+00 2.031381556437417829e-02
1.239672469019113654e+00 2.321963596324297385e-02
1.312518903591682218e+00 2.618326681223430777e-02
1.387444995799201664e+00 2.920314805616646900e-02
1.464450745641671991e+00 3.227858020456770421e-02
1.543536153119092535e+00 3.540674507414371536e-02
1.624701218231463740e+00 3.858734367654434450e-02
1.707945940978785604e+00 4.181961909316862791e-02
1.793270321361058794e+00 4.510038171743922797e-02
1.880674359378281757e+00 4.843177535631913722e-02
1.970158055030455602e+00 5.180982910954761572e-02
2.061721408317580106e+00 5.523600370747520916e-02
2.155364419239655493e+00 5.870898945959491383e-02
2.251087087796681097e+00 6.222665807735613952e-02
2.348889413988658248e+00 6.579189482824011892e-02
2.448771397815585171e+00 6.939908296746653826e-02
2.550733039277463643e+00 7.305423088709861457e-02
2.654774338374291887e+00 7.674955565064499330e-02
2.760895295106070790e+00 8.049293657341957675e-02
2.869095909472799466e+00 8.427525585152370602e-02
2.979376181474480134e+00 8.810571818699661217e-02
3.091736111111111018e+00 9.197421022765674137e-02
3.206175698382693007e+00 9.589087987623792775e-02
3.322694943289225211e+00 9.984523790031887835e-02
3.441293845830708520e+00 1.038472294760036663e-01
3.561972406007142045e+00 1.078878021250486985e-01
3.684730623818526229e+00 1.119740256490747154e-01
3.809568499264861519e+00 1.161017509662839453e-01
3.936486032346145691e+00 1.202711704934073672e-01
4.065483223062381413e+00 1.244868948747863135e-01
4.196560071413568238e+00 1.287398889971039517e-01
4.329716577399707056e+00 1.330428560814105321e-01
4.464952741020795202e+00 1.373824677170956965e-01
4.602268562276833563e+00 1.417696489920525216e-01
4.741664041167822141e+00 1.461992261376516833e-01
4.883139177693761823e+00 1.506691555064181010e-01
5.026693971854652609e+00 1.551890203711334681e-01
5.172328423650493612e+00 1.597460773745222051e-01
5.320042533081284830e+00 1.643516047811703629e-01
5.469836300147028929e+00 1.690013198875440215e-01
5.621709724847722356e+00 1.736908292571821277e-01
5.775662807183365999e+00 1.784317565631252378e-01
5.931695547153959858e+00 1.832130011809395831e-01
6.089807944759504821e+00 1.880389930765693773e-01
6.250000000000000000e+00 1.929149932708475457e-01
