# Delta  K_0^0(Delta)
6.250000000000004535e-06 -2.721213574218538100e-02
8.586398724270406476e-06 -2.721205345372729525e-02
1.179619888834435703e-05 -2.721193724621469301e-02
1.620589873377917850e-05 -2.721177630434266567e-02
2.226404931414029126e-05 -2.721155585191213991e-02
3.058688074048439038e-05 -2.721125392168384158e-02
4.202098460312087144e-05 -2.721084140471079910e-02
5.772942857421170531e-05 -2.721027370279063828e-02
7.931006269799527168e-05 -2.720949394357682904e-02
1.089580513874992593e-04 -2.720842036216299109e-02
1.496891637492179844e-04 -2.720694837542082800e-02
2.056465351445418283e-04 -2.720492408948779403e-02
2.825221035225152161e-04 -2.720214514580738055e-02
3.881355886822263480e-04 -2.719832695519389110e-02
5.332299077608007457e-04 -2.719308296216103524e-02
7.325639359584258745e-04 -2.718588274127829024e-02
1.006413767225588021e-03 -2.717599539472623574e-02
1.382635181919030735e-03 -2.716241433926956314e-02
1.899497113945749962e-03 -2.714375631356225060e-02
2.609574335350251829e-03 -2.711811434760728889e-02
3.585095319030428326e-03 -2.708287307311095168e-02
4.925289259793698068e-03 -2.703445783850193934e-02
6.766479586712842095e-03 -2.696795188508960620e-02
9.295950670584455025e-03 -2.687656936124710114e-02
1.277099823660589675e-02 -2.675099874001326053e-02
1.754510127463235550e-02 -2.657846090577480752e-02
2.410387763227172034e-02 -2.634134765549486085e-02
3.311448066427319370e-02 -2.601547294443352226e-02
4.549346152489468914e-02 -2.556752182486295155e-02
6.250000000000002776e-02 -2.495163941576864983e-02
7.562500000000001166e-02 -2.447593775378554062e-02
9.440033606385214715e-02 -2.379484434807098425e-02
1.152553297626549150e-01 -2.303750991063439890e-02
1.381899810964083430e-01 -2.220357469543580292e-02
1.632042900651123341e-01 -2.129285574784052157e-02
1.902982566687670685e-01 -2.030490486511899589e-02
2.194718809073724630e-01 -1.923928940231356410e-02
2.507251627809283234e-01 -1.809565676246992563e-02
2.840581022894350105e-01 -1.687354533271522711e-02
3.194706994328921912e-01 -1.557243886371974945e-02
3.569629542113001430e-01 -1.419177917545978891e-02
3.965348666246586440e-01 -1.273097520263523526e-02
4.381864366729678606e-01 -1.118940143112960063e-02
4.819176643562276263e-01 -9.566393174496003876e-03
5.277285496744381632e-01 -7.861228105551263529e-03
5.756190926275991382e-01 -6.073070331698607674e-03
6.255892932157109954e-01 -4.201002657375745540e-03
6.776391514387732906e-01 -2.244293667778710869e-03
7.317686672967863570e-01 -2.022375443587155156e-04
7.879778407897499726e-01 1.926199696093559280e-03
8.462666719176643593e-01 4.142324540831269705e-03
9.066351606805294061e-01 6.446903713653639144e-03
9.690833070783446690e-01 8.840704541638214758e-03
1.033611111111111036e+00 1.132542550831094202e-02
1.100218572778827841e+00 1.390187537591836865e-02
1.168905692081495529e+00 1.657084090099334925e-02
1.239672469019113654e+00 1.933457532112775948e-02
1.312518903591682218e+00 2.219296870787839521e-02
1.387444995799201664e+00 2.514812952571273547e-02
1.464450745641671991e+00 2.820163057465092937e-02
1.543536153119092535e+00 3.135300832071588606e-02
1.624701218231463740e+00 3.460659935019500671e-02
1.707945940978785604e+00 3.795968697599210601e-02
1.793270321361058794e+00 4.141797381113770937e-02
1.880674359378281757e+00 4.497861432008312677e-02
1.970158055030455602e+00 4.864652734395227829e-02
2.061721408317580106e+00 5.242010374072257617e-02
2.155364419239655493e+00 5.630281390093147542e-02
2.251087087796681097e+00 6.029421007560317736e-02
2.348889413988658248e+00 6.439701387866454685e-02
2.448771397815585171e+00 6.861054684382959790e-02
2.550733039277463643e+00 7.293878291756362986e-02
2.654774338374291887e+00 7.737815762922389817e-02
2.760895295106070790e+00 8.193689330486479683e-02
2.869095909472799466e+00 8.660550274066257381e-02
2.979376181474480134e+00 9.139868245898151444e-02
3.091736111111111018e+00 9.630028145974930953e-02
3.206175698382693007e+00 1.013293672863195827e-01
3.322694943289225211e+00 1.064686519312778856e-01
3.441293845830708520e+00 1.117319447779899777e-01
3.561972406007142045e+00 1.171135654691160544e-01
3.684730623818526229e+00 1.226087857334716286e-01
3.809568499264861519e+00 1.282331235074374853e-01
3.936486032346145691e+00 1.339639562718091259e-01
4.065483223062381413e+00 1.398211575676880647e-01
4.196560071413568238e+00 1.457922459780515434e-01
4.329716577399707056e+00 1.518721592320269320e-01
4.464952741020795202e+00 1.580778226711736234e-01
4.602268562276833563e+00 1.643837011020848615e-01
4.741664041167822141e+00 1.708019697596617481e-01
4.883139177693761823e+00 1.773321818387822435e-01
5.026693971854652609e+00 1.839531527420568413e-01
5.172328423650493612e+00 1.906822023261248444e-01
5.320042533081284830e+00 1.975055506909955405e-01
5.469836300147028929e+00 2.044076944879567315e-01
5.621709724847722356e+00 2.114040286466065954e-01
5.775662807183365999e+00 2.184746100976700522e-01
5.931695547153959858e+00 2.256052452717963175e-01
6.089807944759504821e+00 2.328066623649490130e-01
6.250000000000000000e+00 2.400579016256185472e-01
