# Delta  K_0^0(Delta)
6.250000000000004535e-06 -2.713611220696423437e-02
8.586398724270406476e-06 -2.716189014358714668e-02
1.179619888834435703e-05 -2.718056524676427249e-02
1.620589873377917850e-05 -2.719403686316108210e-02
2.226404931414029126e-05 -2.720367503020249683e-02
3.058688074048439038e-05 -2.721045948480337040e-02
4.202098460312087144e-05 -2.721508182729458214e-02
5.772942857421170531e-05 -2.721801052856599734e-02
7.931006269799527168e-05 -2.721954503121740490e-02
1.089580513874992593e-04 -2.721983863205605994e-02
1.496891637492179844e-04 -2.721892495055945951e-02
2.056465351445418283e-04 -2.721670657384803182e-02
2.825221035225152161e-04 -2.721296122338201506e-02
3.881355886822263480e-04 -2.720730504177945944e-02
5.332299077608007457e-04 -2.719916263945968554e-02
7.325639359584258745e-04 -2.718770579665188980e-02
1.006413767225588021e-03 -2.717176571451421219e-02
1.382635181919030735e-03 -2.714971206888838751e-02
1.899497113945749962e-03 -2.711928724397061341e-02
2.609574335350251829e-03 -2.707736881980640775e-02
3.585095319030428326e-03 -2.701965867500386378e-02
4.925289259793698068e-03 -2.694025761981053146e-02
6.766479586712842095e-03 -2.683103949813266109e-02
9.295950670584455025e-03 -2.668078709748850780e-02
1.277099823660589675e-02 -2.647406634999290367e-02
1.754510127463235550e-02 -2.618965157646866229e-02
2.410387763227172034e-02 -2.579822808543847518e-02
3.311448066427319370e-02 -2.525941686600828573e-02
4.549346152489468914e-02 -2.451740027414275533e-02
6.250000000000002776e-02 -2.349494803278696919e-02
7.562500000000001166e-02 -2.270358263440120511e-02
9.440033606385214715e-02 -2.156821902414341949e-02
1.152553297626549150e-01 -2.030259397431723525e-02
1.381899810964083430e-01 -1.890533918801932250e-02
1.632042900651123341e-01 -1.737493719622622973e-02
1.902982566687670685e-01 -1.570968887104334452e-02
2.194718809073724630e-01 -1.390771393601658405e-02
2.507251627809283234e-01 -1.196693482844666742e-02
2.840581022894350105e-01 -9.885094803234382305e-03
3.194706994328921912e-01 -7.659805075852660523e-03
3.569629542113001430e-01 -5.288460537849581748e-03
3.965348666246586440e-01 -2.769517880840594894e-03
4.381864366729678606e-01 -9.267087364159192300e-05
4.819176643562276263e-01 2.734681403320283078e-03
5.277285496744381632e-01 5.721826423680196130e-03
5.756190926275991382e-01 8.871832014453380835e-03
6.255892932157109954e-01 1.218863365223210073e-02
6.776391514387732906e-01 1.567647599191172164e-02
7.317686672967863570e-01 1.933977847112612614e-02
7.879778407897499726e-01 2.318322892061130958e-02
8.462666719176643593e-01 2.721177888826331603e-02
9.066351606805294061e-01 3.143062863717316358e-02
9.690833070783446690e-01 3.584522167041145901e-02
1.033611111111111036e+00 4.046125154927650985e-02
1.100218572778827841e+00 4.528466657607253115e-02
1.168905692081495529e+00 5.032167105055986023e-02
1.239672469019113654e+00 5.557873666106255550e-02
1.312518903591682218e+00 6.106261197454161682e-02
1.387444995799201664e+00 6.678028537316983704e-02
1.464450745641671991e+00 7.273905607078025304e-02
1.543536153119092535e+00 7.894647793928766255e-02
1.624701218231463740e+00 8.541034668905990446e-02
1.707945940978785604e+00 9.213875846774148559e-02
1.793270321361058794e+00 9.914017443517990358e-02
1.880674359378281757e+00 1.064234411154726945e-01
1.970158055030455602e+00 1.139977059382351887e-01
2.061721408317580106e+00 1.218723926696451965e-01
2.155364419239655493e+00 1.300570749352107924e-01
2.251087087796681097e+00 1.385615647779668280e-01
2.348889413988658248e+00 1.473966017824511199e-01
2.448771397815585171e+00 1.565736733316606677e-01
2.550733039277463643e+00 1.661038442036844309e-01
2.654774338374291887e+00 1.759981493023576038e-01
2.760895295106070790e+00 1.862689318234893032e-01
2.869095909472799466e+00 1.969303796395311112e-01
2.979376181474480134e+00 2.079948658145835128e-01
3.091736111111111018e+00 2.194751067283563228e-01
3.206175698382693007e+00 2.313875302026441316e-01
3.322694943289225211e+00 2.437473823413859320e-01
3.441293845830708520e+00 2.565683792391307838e-01
3.561972406007142045e+00 2.698693009686206068e-01
3.684730623818526229e+00 2.836682180916964557e-01
3.809568499264861519e+00 2.979806689716054113e-01
3.936486032346145691e+00 3.128295024685586179e-01
4.065483223062381413e+00 3.282340650521006209e-01
4.196560071413568238e+00 3.442140733570464572e-01
4.329716577399707056e+00 3.607969365245681237e-01
4.464952741020795202e+00 3.780022616756592568e-01
4.602268562276833563e+00 3.958616844912167254e-01
4.741664041167822141e+00 4.143948930588317592e-01
4.883139177693761823e+00 4.336347296277953678e-01
5.026693971854652609e+00 4.536148744909948571e-01
5.172328423650493612e+00 4.743625310092677849e-01
5.320042533081284830e+00 4.959173688214852938e-01
5.469836300147028929e+00 5.183119389620672868e-01
5.621709724847722356e+00 5.415881647767841756e-01
5.775662807183365999e+00 5.657852000285568117e-01
5.931695547153959858e+00 5.909477629235454499e-01
6.089807944759504821e+00 6.171206857855143779e-01
6.250000000000000000e+00 6.443530660781765507e-01
