# Delta  K_0^0(Delta)
6.250000000000004535e-06 -2.721147578167897388e-02
8.586398724270406476e-06 -2.721133758770818631e-02
1.179619888834435703e-05 -2.721114457332344388e-02
1.620589873377917850e-05 -2.721087811093475181e-02
2.226404931414029126e-05 -2.721051269284968308e-02
3.058688074048439038e-05 -2.721001160715455156e-02
4.202098460312087144e-05 -2.720932548671322476e-02
5.772942857421170531e-05 -2.720838190097088147e-02
7.931006269799527168e-05 -2.720708574154141746e-02
1.089580513874992593e-04 -2.720530271475463460e-02
1.496891637492179844e-04 -2.720285607176558401e-02
2.056465351445418283e-04 -2.719949277306634924e-02
2.825221035225152161e-04 -2.719487424800766037e-02
3.881355886822263480e-04 -2.718852877067057597e-02
5.332299077608007457e-04 -2.717981268225117680e-02
7.325639359584258745e-04 -2.716784232271541796e-02
1.006413767225588021e-03 -2.715140147600379403e-02
1.382635181919030735e-03 -2.712881675030067580e-02
1.899497113945749962e-03 -2.709778867908142416e-02
2.609574335350251829e-03 -2.705515133839941563e-02
3.585095319030428326e-03 -2.699655929650670097e-02
4.925289259793698068e-03 -2.691606020272449551e-02
6.766479586712842095e-03 -2.680546912431653120e-02
9.295950670584455025e-03 -2.665350718438937866e-02
1.277099823660589675e-02 -2.644468415441451545e-02
1.754510127463235550e-02 -2.615772128052702358e-02
2.410387763227172034e-02 -2.576331198882025192e-02
3.311448066427319370e-02 -2.522115832300286103e-02
4.549346152489468914e-02 -2.447573369937395063e-02
6.250000000000002776e-02 -2.345052287774155100e-02
7.562500000000001166e-02 -2.265839893562835231e-02
9.440033606385214715e-02 -2.152387395240022011e-02
1.152553297626549150e-01 -2.026178990541498137e-02
1.381899810964083430e-01 -1.887143374985895614e-02
1.632042900651123341e-01 -1.735223116823952222e-02
1.902982566687670685e-01 -1.570330230455595222e-02
2.194718809073724630e-01 -1.392373978974981510e-02
2.507251627809283234e-01 -1.201267316994835722e-02
2.840581022894350105e-01 -9.969078725915672332e-03
3.194706994328921912e-01 -7.791831234553275171e-03
3.569629542113001430e-01 -5.479714786810578608e-03
3.965348666246586440e-01 -3.031429677485378109e-03
4.381864366729678606e-01 -4.455884006262868821e-04
4.819176643562276263e-01 2.279292027484175562e-03
5.277285496744381632e-01 5.144811581117929820e-03
5.756190926275991382e-01 8.152744691814466788e-03
6.255892932157109954e-01 1.130500565055016400e-02
6.776391514387732906e-01 1.460339010640128617e-02
7.317686672967863570e-01 1.804975395327429455e-02
7.879778407897499726e-01 2.164636344675492999e-02
8.462666719176643593e-01 2.539581050732423601e-02
9.066351606805294061e-01 2.930021740878924891e-02
9.690833070783446690e-01 3.336186867842719922e-02
1.033611111111111036e+00 3.758404736675220043e-02
1.100218572778827841e+00 4.196914100044493723e-02
1.168905692081495529e+00 4.651981249456593748e-02
1.239672469019113654e+00 5.124022169501781659e-02
1.312518903591682218e+00 5.613212279515995135e-02
1.387444995799201664e+00 6.120001149419639075e-02
1.464450745641671991e+00 6.644755592037680791e-02
1.543536153119092535e+00 7.187680506701650540e-02
1.624701218231463740e+00 7.749481954406448048e-02
1.707945940978785604e+00 8.330133638434285281e-02
1.793270321361058794e+00 8.930551658595288489e-02
1.880674359378281757e+00 9.550706927051022532e-02
1.970158055030455602e+00 1.019149885698791835e-01
2.061721408317580106e+00 1.085305181752284770e-01
2.155364419239655493e+00 1.153618008538432882e-01
2.251087087796681097e+00 1.224116333589592015e-01
2.348889413988658248e+00 1.296881250476333569e-01
2.448771397815585171e+00 1.371942227738901232e-01
2.550733039277463643e+00 1.449402232386627631e-01
2.654774338374291887e+00 1.529265468310880560e-01
2.760895295106070790e+00 1.611688316770207297e-01
2.869095909472799466e+00 1.696621512302695090e-01
2.979376181474480134e+00 1.784294942966701270e-01
3.091736111111111018e+00 1.874606322778436251e-01
3.206175698382693007e+00 1.967829858786707409e-01
3.322694943289225211e+00 2.063878945800391440e-01
3.441293845830708520e+00 2.162966637159526029e-01
3.561972406007142045e+00 2.265157503719496535e-01
3.684730623818526229e+00 2.370478294516194517e-01
3.809568499264861519e+00 2.479220957312874840e-01
3.936486032346145691e+00 2.591270159815045604e-01
4.065483223062381413e+00 2.706941218741429345e-01
4.196560071413568238e+00 2.826284648056109905e-01
4.329716577399707056e+00 2.949361108068985216e-01
4.464952741020795202e+00 3.076529491162883212e-01
4.602268562276833563e+00 3.207719200414225758e-01
4.741664041167822141e+00 3.343203297549875441e-01
4.883139177693761823e+00 3.483238049301112804e-01
5.026693971854652609e+00 3.627813946146232205e-01
5.172328423650493612e+00 3.777320409517777033e-01
5.320042533081284830e+00 3.931947689350225317e-01
5.469836300147028929e+00 4.091789275990425079e-01
5.621709724847722356e+00 4.257291442534456016e-01
5.775662807183365999e+00 4.428665679357882690e-01
5.931695547153959858e+00 4.606096050578052381e-01
6.089807944759504821e+00 4.790062216400993167e-01
6.250000000000000000e+00 4.980882813068971404e-01
