#R	glo	gnlo
1.859734589041096	121271.318	-6874.07380
1.7863240131578948	136792.276	-7675.86031
1.718488924050633	153636.4173315637	-8573.3826957962
1.6556173780487806	171898.6902815656	-9598.070643349387
1.5971838235294118	191615.46098077862	-10748.713589383515
1.5427343749999998	212780.6133654871	-11994.577111365543
1.491875		235462.7704353599	-13351.20181649715
1.4442619680851063	259724.40273283076	-14831.857204869279
1.35760625		313141.58632874576	-18150.004313041925
1.3180643203883498	342357.6387985987	-19961.129944221208

